year,region,num_school,num_class,total_stu,man_stu,women_stu,total_teacher,man_teacher,women_teacher,total_employee,man_employee,women_emplyee,num_graduate,num_entrant,area,build_area
2021,Jongno-gu,13,267,"5,072","2,555","2,517",448,69,379,53,18,35,907,772,99,100
2021,Jung-gu,12,239,"4,808","2,386","2,422",382,55,327,70,34,36,783,817,125,97
2021,Yongsan-gu ,15,347,"6,656","3,428","3,228",585,61,524,61,19,42,"1,172","1,099",194,117
2021,Seongdong-gu,21,550,"10,555","5,391","5,164",897,110,787,112,46,66,"1,785","1,886",195,236
2021,Gwangjin-gu,22,623,"13,742","7,048","6,694",961,145,816,110,50,60,"2,438","2,146",214,206
2021,Dongdaemun-gu,21,596,"12,792","6,639","6,153",911,132,779,112,50,62,"2,212","2,167",273,214
2021,Jungnang-gu,23,689,"13,862","7,119","6,743","1,042",156,886,112,47,65,"2,414","2,215",272,278
2021,Seongbuk-gu,29,883,"19,628","9,937","9,691","1,354",204,"1,150",149,61,88,"3,349","3,175",332,302
2021,Gangbuk-gu,14,447,"9,412","4,857","4,555",689,118,571,76,29,47,"1,652","1,394",179,161
2021,Dobong-gu,23,675,"13,952","7,126","6,826",979,198,781,115,54,61,"2,456","2,249",279,222
2021,Nowon-gu,42,"1,177","24,692","12,689","12,003","1,716",324,"1,392",221,101,120,"4,866","3,751",485,374
2021,Eunpyeong-gu,30,907,"19,730","10,158","9,572","1,368",179,"1,189",150,59,91,"3,425","3,074",394,307
2021,Seodaemun-gu,19,587,"12,940","6,507","6,433",900,122,778,96,40,56,"2,123","2,225",221,200
2021,Mapo-gu,22,645,"13,888","6,964","6,924","1,020",104,916,98,35,63,"2,531","2,298",244,216
2021,Yangcheon-gu,30,"1,006","23,469","12,096","11,373","1,503",178,"1,325",146,46,100,"4,746","3,389",355,298
2021,Gangseo-gu,35,"1,169","24,896","12,749","12,147","1,711",231,"1,480",170,66,104,"4,241","4,005",410,353
2021,Guro-gu,26,843,"17,290","8,757","8,533","1,300",176,"1,124",128,51,77,"2,881","2,799",327,266
2021,Geumcheon-gu,18,428,"8,050","4,081","3,969",672,104,568,79,28,51,"1,254","1,314",200,166
2021,Yeongdeungpo-gu,23,664,"13,776","7,007","6,769","1,042",116,926,111,41,70,"2,183","2,400",300,226
2021,Dongjak-gu,21,686,"15,174","7,777","7,397","1,053",133,920,107,44,63,"2,473","2,525",260,218
2021,Gwanak-gu,22,674,"13,550","6,959","6,591","1,044",154,890,106,37,69,"2,428","2,174",279,237
2021,Seocho-gu,24,879,"22,345","11,550","10,795","1,330",125,"1,205",118,30,88,"4,047","3,413",304,222
2021,Gangnam-gu,33,"1,000","25,829","13,492","12,337","1,624",115,"1,509",148,47,101,"5,107","3,618",413,362
2021,Songpa-gu,40,"1,394","31,235","15,931","15,304","2,161",185,"1,976",185,54,131,"5,206","5,022",457,394
2021,Gang Dong-gu,29,"1,021","22,092","11,479","10,613","1,527",166,"1,361",127,37,90,"3,751","3,763",346,261
